review,sentiment,tokenized_review,lemmatized_review,review_vector,predicted_sentiment,reason
atmosphere modern hip maintaining touch coziness,positive,"['atmosphere', 'modern', 'hip', 'maintaining', 'touch', 'coziness']",atmosphere modern hip maintaining touch coziness,"[-0.15531768  0.04480701  0.5538464   0.28960684 -0.07464817  0.35631236
 -0.0857595  -0.3437505  -0.17074965  0.5935562  -0.38680705 -0.36699045
  0.4047     -0.2025295   0.08066235 -0.164685   -0.11524016 -0.25089034
  0.18210499 -0.0785675   0.10031384 -0.001733   -0.05172148 -0.62012166
  0.0989305   0.04305301 -0.0105035  -0.36578667  0.012905   -0.15036833
 -0.13059781  0.19626082 -0.15982984  0.10234717  0.22797     0.03110916
  0.18224515  0.11982834 -0.20730881 -0.23628466 -0.10041081 -0.36810836
 -0.05066517  0.057388   -0.22966318 -0.07169867  0.09485333  0.1971165
  0.29304335 -0.50747585  0.11631998 -0.0148835  -0.11987767  0.3899
  0.09859034 -1.639741    0.26756316 -0.12585999  0.7523351   0.26732215
 -0.01514001  0.5003817  -0.20184486  0.12680383  0.25907454  0.12055999
  0.29350832 -0.264       0.13359666 -0.5405035   0.22170682  0.03440499
  0.20639832  0.09901669  0.14799066 -0.066489    0.19277017 -0.17252801
 -0.080205    0.00279065  0.18163918  0.11467866  0.0424535   0.501885
 -0.79074067  0.49976233 -0.20687984  0.09880033 -0.32798368 -0.234029
  0.19182281  0.06406566 -0.0925225  -0.06957817  0.00877501 -0.16651084
 -0.36322618 -0.56147337  0.411755    0.3656379 ]",negative,Misclassified positive review: Model failed to detect positive sentiment.
found place accident could not happier,positive,"['found', 'place', 'accident', 'could', 'not', 'happier']",found place accident could not happier,"[ 7.99670815e-04  1.71163321e-01  4.06145006e-01 -2.71743536e-01
 -3.51347476e-01 -3.12709920e-02  1.13382578e-01  3.56232643e-01
  1.90276995e-01  2.89549977e-02  8.44294801e-02  5.70995033e-01
  4.69246656e-01 -5.55277169e-02  7.22166672e-02 -2.58111686e-01
  2.41724506e-01  5.04333377e-02 -5.23926675e-01  3.74464184e-01
  3.87551665e-01  5.81213348e-02  2.71904975e-01  5.65654822e-02
 -6.58188537e-02 -1.27827346e-01 -1.53669506e-01 -3.02704990e-01
  1.08553343e-01 -9.57833696e-03 -1.23230042e-02  2.35874832e-01
 -1.04163341e-01  4.03781645e-02  2.07589820e-01  2.09294990e-01
 -1.64769828e-01  3.10742170e-01 -1.15894973e-02 -1.38881341e-01
 -4.28944826e-01 -1.69543341e-01  1.36823341e-01 -4.73312140e-01
 -1.56738535e-01  1.47155508e-01  5.21315038e-01 -2.24673674e-01
 -8.23766664e-02 -9.22451675e-01  2.59373337e-01 -2.99343675e-01
 -3.83358300e-02  9.82260048e-01 -1.60317495e-01 -2.03023982e+00
 -2.98366636e-01 -1.00180835e-01  1.30662668e+00  6.25918329e-01
 -3.53440017e-01  9.64631617e-01 -2.21558332e-01  1.47095665e-01
  8.04531515e-01  4.24776636e-02  3.37138325e-01  1.69068500e-01
 -2.40883335e-01 -4.46048021e-01 -2.28791654e-01 -5.12849987e-01
  2.80298829e-01 -1.44077346e-01  2.93786168e-01  2.17008349e-02
  1.40941843e-01 -2.68863350e-01 -6.92714989e-01  2.58636624e-02
  2.09626675e-01  8.02515000e-02 -4.30248350e-01  1.26008347e-01
 -1.23412168e+00 -3.34458500e-01  2.27791354e-01 -2.01307442e-02
 -4.42669988e-01 -3.01928312e-01 -3.94876637e-02 -3.35258335e-01
  1.10256672e-01  3.11000049e-02 -3.83776665e-01  2.33805999e-01
 -1.21918172e-01 -2.63643354e-01  2.08333850e-01 -9.96933356e-02]",negative,Misclassified positive review: Model failed to detect positive sentiment.
say bye bye tip lady,negative,"['say', 'bye', 'bye', 'tip', 'lady']",say bye bye tip lady,"[-0.1383      0.25794002  0.516464   -0.5448592  -0.03806419  0.15660802
  0.393366    0.11489601 -0.1067824  -0.4505406  -0.0772486   0.3344527
  0.121972    0.742494   -0.14014159  0.10064201  0.027017   -0.09336479
 -0.1743078   0.29100603  0.029032    0.28592795 -0.441646    0.2585836
  0.1389478   0.475416   -0.15547201 -0.368044    0.12058802 -0.489096
  0.02875001  0.0531652   0.9508618   0.1244482   0.26891598  0.1260632
 -0.26358852  0.2387856   0.25348398 -0.23717399 -0.299078   -0.23824361
 -0.06566101 -0.21082199 -0.02855599 -0.1929688  -0.17234401 -0.085214
  0.15367799 -0.21784961 -0.50771     0.5482648   0.2754688   0.36296803
 -0.42477202 -1.4097      0.03936141 -0.04594799  0.5747252  -0.015456
 -0.46374598  0.501768   -0.34398276 -0.085838    0.31097603  0.0152004
 -0.13855973  0.34929198 -0.222774   -0.1366812   0.0600256  -0.20650358
 -0.011088   -0.40158638 -0.17375317  0.400326   -0.2272474  -0.1588336
 -0.38031095 -0.0663132   0.52229744 -0.16488998 -0.40913    -0.23948868
 -1.185302   -0.547474    0.2596652  -0.254286   -0.24591795  0.05166581
  0.0373526   0.18340398  0.113934    0.305314   -0.32016602 -0.2578172
 -0.322548    0.21303861 -0.032286    0.15784399]",positive,Misclassified negative review: Model failed to detect negative sentiment.
service quick even go orders like like,positive,"['service', 'quick', 'even', 'go', 'orders', 'like', 'like']",service quick even go order like like,"[-0.12260915  0.32396     0.28625217 -0.41065544 -0.05135771  0.01365714
 -0.35944745  0.03139158 -0.1255263  -0.18233171  0.05444315 -0.16515143
  0.17829786  0.30344     0.14560671 -0.26323718  0.12346715  0.28480858
 -0.3987704   0.5547928   0.31170002  0.14728001  0.07924757 -0.09704828
  0.241503    0.17128529 -0.38494512 -0.39232853  0.07518215 -0.28474626
  0.02805857  0.28183427 -0.10637856 -0.22669414  0.24433099  0.54183143
 -0.08307445 -0.07332472  0.10688395 -0.24437858 -0.11600985 -0.17237829
 -0.02607086 -0.44645903 -0.1595043  -0.04986686  0.05903658 -0.247966
  0.19213343 -0.8516957   0.2646267   0.16642429  0.01245672  0.9187085
 -0.06854186 -2.0937715   0.0150822   0.19354299  1.8401998   0.41492003
 -0.238842    0.6314686  -0.09146743  0.02540828  0.5855621   0.039467
  0.3529057   0.23127402  0.215      -0.05439571 -0.20353244 -0.36696574
 -0.19182314 -0.56743145  0.12540743  0.19846652 -0.1148643   0.03385957
 -0.4598123  -0.2946513   0.85483855 -0.23351987 -0.54748863  0.13896272
 -1.5986     -0.327884    0.17983797 -0.22138722 -0.24265029 -0.48547968
  0.1722183  -0.22366713 -0.02256629 -0.122694   -0.61519283 -0.27144843
 -0.03711714 -0.07368543  0.38919082  0.33636355]",negative,Misclassified positive review: Model failed to detect positive sentiment.
buffet small food offered bland,negative,"['buffet', 'small', 'food', 'offered', 'bland']",buffet small food offered bland,"[-0.503818    0.497049   -0.03109599 -0.03744101  0.01632556  0.19472201
  0.22979419  0.324332    0.019554   -0.24278998 -0.18708639 -0.0177084
  0.014719    0.23625942  0.28114778 -0.03076094 -0.013802   -0.3315646
 -0.23678598  0.2200526   0.1301378   0.278944    0.24786219 -0.62600404
 -0.04287281  0.22275798 -0.40595803 -0.071334   -0.59942997 -0.0064796
  0.1495582   0.31072178 -0.09488481 -0.28385037  0.29338998  0.917287
  0.26459616  0.23269859 -0.14927486 -0.3337598   0.070273   -0.39608002
 -0.0981462  -0.24989998  0.317356    0.2504848  -0.42055804 -0.09317801
  0.1712974  -0.413616    0.02417601 -0.2699538   0.15092601  0.196104
 -0.1095752  -1.53026    -0.05415381 -0.013678    1.2679814  -0.08102141
  0.0839138   0.2395926   0.06841962 -0.097176    0.37487    -0.5149366
  0.2329952  -0.00379801  0.315064   -0.3491748  -0.4396902  -0.2040718
  0.03961179 -0.06533681  0.016666    0.473586   -0.3769522  -0.0040012
 -0.32806602  0.16784199  0.35978198 -0.0391902  -0.22961763 -0.03495567
 -0.7196     -0.2433738   0.1425     -0.20861402 -0.26564842 -0.363046
  0.3106926  -0.1702486   0.1390952  -0.17049801 -0.853358   -0.16880023
 -0.226608   -0.32252678  0.794304    0.38287598]",positive,Misclassified negative review: Model failed to detect negative sentiment.
beans rice mediocre best,negative,"['beans', 'rice', 'mediocre', 'best']",bean rice mediocre best,"[-0.33614674  0.4571125   0.38761026 -0.18650076 -0.18864176 -0.22219749
  0.7103675  -0.05562501 -0.26003498  0.12339976 -0.18462498 -0.44700748
  0.12052675  0.426395   -0.19854149  0.148382   -0.02416749 -0.0445912
  0.261495    0.54656327 -0.1663675   0.17027001  0.32272065 -0.22872075
  0.17726777  0.33078748 -0.17630848 -0.293705   -0.21104498 -0.13512
 -0.4250425   0.26605824  0.30435252 -0.1704025   0.10586935  0.829465
 -0.15260425  0.46606004 -0.25045002 -0.12604575 -0.09629999 -0.40478507
 -0.076477   -0.30599198  0.58298    -0.2699975  -0.43472502 -0.5762475
 -0.15818949 -0.87562996 -0.1592575  -0.205215    0.138544    0.51881003
 -0.333435   -1.22587    -0.28109348  0.36296374  0.5304135  -0.11103025
 -0.23156175  0.5060377  -0.25917625 -0.14357173  0.55778754 -0.5180725
  0.46309513  0.10874674  0.2602875  -0.187682   -0.14253     0.42331
  0.0186045   0.30188224 -0.0038025   0.50844246 -0.67426753  0.2504525
  0.13257176  0.3034      0.626985    0.21165499 -1.111475   -0.00461875
 -0.7725657  -0.09335275  0.041405    0.06590751 -0.326484   -0.121365
 -0.2212165   0.20213099 -0.2935825  -0.259985   -0.94201493 -0.16082501
 -0.3719375  -0.05376525  0.32110125  0.7247325 ]",positive,Misclassified negative review: Model failed to detect negative sentiment.
2 thumbs,positive,"['2', 'thumbs']",2 thumb,"[ 0.1233      0.46846002  0.26022    -0.40784502 -0.049431    0.30554003
  0.26147002  0.283535   -0.1157175  -0.48965502  0.30553502 -0.22622499
 -0.05237001  0.36174     0.38834     0.38892052  0.056795    0.164301
  0.25366503  0.31836003  0.346031    0.18503001 -0.31568003  0.672915
  0.80412495  0.437475    0.15503001  0.625935    0.28275502 -0.3511395
  0.46822     0.48384     0.01855001  0.30488    -0.11224     0.22658
  0.14593899  0.266005   -0.041483    0.11024     0.3400435  -0.87400496
  0.22704    -0.404975   -0.249735   -0.48927498 -0.5819     -0.03104
 -0.086      -0.29395503 -0.296635   -0.352965   -0.15337875  0.95410496
 -0.694625   -1.535045   -0.006705    0.02526501  1.1168749  -0.10899502
  0.05690002  0.44054    -0.67527497  0.1395745   0.256355    0.23276499
 -0.41975     0.585675   -0.04272501  0.2532551  -0.508555    0.287545
  0.1831485  -0.279715    0.02695     0.1585855  -0.2048695   0.084883
  0.068545   -0.63161     0.558345   -0.36246002 -0.692865    0.05605499
 -0.55307    -0.15616849  0.23175499  0.28939     0.013445    0.19988
 -0.38141     0.3255065  -0.22639501  0.272015   -0.611645   -0.06107
 -0.1512165  -0.0469305   0.07429001  0.025565  ]",negative,Misclassified positive review: Model failed to detect positive sentiment.
hilarious yummy christmas eve dinner remember biggest fail entire trip us,negative,"['hilarious', 'yummy', 'christmas', 'eve', 'dinner', 'remember', 'biggest', 'fail', 'entire', 'trip', 'us']",hilarious yummy christmas eve dinner remember biggest fail entire trip u,"[-1.02463916e-01  2.46080011e-01  3.83703738e-01 -1.44515604e-01
 -1.24083549e-01  1.27540916e-01  2.75017265e-02  3.73795390e-01
  5.66017292e-02 -2.08469912e-01 -2.92017777e-03 -4.46988717e-02
  6.44697249e-02  2.63876796e-01 -5.47068119e-02  1.30038008e-01
 -3.58518213e-02  3.67872715e-02 -1.68498456e-01  3.20039392e-01
  3.02798152e-01 -8.98554083e-03  3.09605524e-02 -2.89145261e-01
  1.41631782e-01  1.95354685e-01 -3.77682894e-01  4.00769003e-02
  3.68265629e-01 -4.30700958e-01 -1.62831008e-01  2.10080370e-01
  2.40987256e-01 -1.61706626e-01 -4.51753624e-02  3.36562276e-01
 -6.50417283e-02  2.08967328e-02  6.63891882e-02 -3.57810736e-01
 -3.61423716e-02  5.42563200e-03  2.32395902e-01  8.31125453e-02
 -6.50330856e-02  1.43601755e-02 -8.28388259e-02 -2.19826892e-01
 -1.84091652e-04 -6.70851827e-01  1.53821453e-01 -6.28604516e-02
  3.72158021e-01  3.70036900e-01 -3.32063198e-01 -1.72689819e+00
  3.29635516e-02  2.66188622e-01  1.03279185e+00  1.16891190e-01
 -3.06174546e-01  7.89229810e-01 -6.69736415e-02 -5.21695495e-01
  1.80054531e-01  1.79550964e-02  8.74088928e-02  9.27893668e-02
  1.38560301e-02 -3.04658592e-01 -4.77620102e-02 -2.80347317e-01
 -3.57803911e-01  3.05058192e-02 -1.29543826e-01  3.58439416e-01
 -1.30020708e-01 -1.20290376e-01 -5.58840811e-01  1.51606455e-01
  1.60060629e-01  1.59574091e-01 -2.24359334e-04  7.53969476e-02
 -9.70337272e-01 -1.88455626e-01 -6.84204623e-02 -9.58361430e-04
 -1.86569780e-01 -1.52611002e-01  9.28264409e-02  2.31272444e-01
  1.31817445e-01 -1.69443354e-01 -6.14772737e-01 -1.62800267e-01
  1.32657275e-01  6.23135418e-02  2.77952164e-01  2.38736391e-01]",positive,Misclassified negative review: Model failed to detect negative sentiment.
back many times soon,positive,"['back', 'many', 'times', 'soon']",back many time soon,"[-1.13648996e-01  2.34947518e-01  2.50149995e-01 -4.20367748e-01
 -7.46604949e-02  2.37725005e-01 -2.00729728e-01  1.38610005e-01
  8.09160024e-02 -3.40257496e-01  2.74915248e-01  7.88250044e-02
  1.86958760e-01  9.02889967e-02  2.97879949e-02 -4.46192503e-01
 -5.51940091e-02  1.13925003e-02 -5.06049991e-01 -7.82100037e-02
  5.19997478e-01  8.51759762e-02 -3.83347459e-02  2.04270750e-01
  3.74711901e-01 -3.40012252e-01 -2.01444626e-01 -6.49742484e-01
  4.08854991e-01  2.75845006e-02  3.89150083e-02  4.13037509e-01
 -3.21620017e-01 -6.86697513e-02 -8.21049958e-02  3.23512763e-01
 -2.89124012e-01 -1.19000077e-02 -3.17877501e-01 -2.28804007e-01
 -7.89477527e-01 -3.18374991e-01 -9.44942459e-02 -2.72691518e-01
  8.15749913e-03 -7.81324953e-02  1.87169984e-01 -3.32446754e-01
  4.29138720e-01 -5.81057549e-01  5.75186498e-02 -7.00574964e-02
  2.51491219e-01  1.07981753e+00  4.77412492e-02 -2.46562481e+00
 -2.67654002e-01 -1.22076489e-01  1.66992497e+00  5.77612460e-01
 -1.86182499e-01  1.16155756e+00 -1.99190006e-01  1.10618502e-01
  5.95499992e-01 -6.47075027e-02  5.01542449e-01  1.51562497e-01
  2.17420012e-01 -1.80499814e-03 -1.38985008e-01  1.52327120e-02
 -2.22438008e-01 -4.84445214e-01  1.39376998e-01 -6.96624964e-02
 -2.74509996e-01 -3.41874734e-03 -7.58727431e-01 -1.40722498e-01
  6.59387529e-01 -1.75574981e-02 -4.00762498e-01  4.02534232e-02
 -1.29875493e+00 -2.02118009e-01 -1.93740055e-02 -3.51575255e-01
 -5.81494987e-01 -1.73995003e-01 -7.45569989e-02 -7.51184970e-02
 -1.31892487e-01  8.90782475e-02 -9.98397470e-01  5.27874976e-02
 -3.10530752e-01  1.39771745e-01  3.40664625e-01  1.89528495e-01]",negative,Misclassified positive review: Model failed to detect positive sentiment.
not disappointed,positive,"['not', 'disappointed']",not disappointed,"[-0.09931064  0.16045     0.50567997 -0.38712    -0.85145503 -0.00317501
 -0.24696499  0.24941     0.296925   -0.243285    0.13016699  0.27252
  0.528535   -0.6641016  -0.40793052 -0.2586855  -0.43985498  0.253865
 -0.34677646  0.55609     0.362455    0.015845    0.187057   -0.038539
 -0.11239     0.0382014  -0.00912499 -0.4825965   0.43627     0.01371
  0.13426599  0.60329497 -0.1981955   0.13188     0.299285    0.36986
 -0.013355    0.46950498 -0.17588001 -0.28882    -0.685555   -0.06278501
  0.34706497 -0.409325   -0.1424     -0.314235    0.76592004 -0.08673498
  0.01263999 -1.28845     0.44006002 -0.37252     0.317265    0.63791555
 -0.42999    -1.9807999  -0.0025035   0.04105     1.199885    0.357943
 -0.33489     0.20240499 -0.595345    0.0542705   0.704504   -0.27206
  0.59248     1.0192     -0.23194    -0.527       0.13692501 -0.48462102
 -0.1247025  -0.52627504  0.048268    0.16543     0.05202     0.1379315
 -0.79262    -0.156661    0.2482165  -0.32782    -0.676775    0.0477865
 -1.8385501  -0.695575   -0.08941999  0.02310476 -0.614215   -0.57414496
 -0.200613   -0.402075   -0.23742    -0.011765   -0.448735    0.30078402
 -0.215855    0.01001999 -0.1708935   0.32152498]",negative,Misclassified positive review: Model failed to detect positive sentiment.
pizza tasted old super chewy not good way,negative,"['pizza', 'tasted', 'old', 'super', 'chewy', 'not', 'good', 'way']",pizza tasted old super chewy not good way,"[-7.18197450e-02  1.93898529e-01  4.09492463e-01 -3.98075938e-01
 -3.25360656e-01  1.38193741e-01  2.59858638e-01 -1.20755993e-01
 -2.30549365e-01  8.65562558e-02  6.12748861e-02 -1.14078633e-01
  4.36393738e-01  1.02073215e-01  1.75661623e-01  3.34222429e-02
  1.66262120e-01 -1.28830075e-02 -3.38772506e-01  5.18470049e-01
  2.43170992e-01  4.10567462e-01  2.81087440e-02 -3.74590129e-01
  1.52794242e-01  3.31324488e-01 -2.36087501e-01 -5.30888438e-01
 -2.02577382e-01 -1.13018394e-01  2.34991312e-04  4.07150000e-01
  3.94612551e-02 -2.42346242e-01  2.92882502e-01  3.72646004e-01
 -1.86809510e-01  3.20763350e-01 -5.54911233e-03 -4.50580657e-01
  1.73011526e-01 -3.67148757e-01  1.75457865e-01 -5.78451216e-01
 -4.85833883e-02  1.67887509e-01  2.13103265e-01 -1.36323631e-01
  1.62137717e-01 -5.10836005e-01 -1.48745760e-01 -1.25703752e-01
  1.86762482e-01  7.19967365e-01 -2.10647002e-01 -1.74232328e+00
  2.82087736e-02  5.42548716e-01  8.94377470e-01  1.64095894e-01
 -1.72767371e-01  5.35124958e-01 -2.74770766e-01  2.76387576e-03
  4.25712854e-01 -1.38231248e-01  3.66420001e-01  2.78630376e-01
 -3.66152465e-01 -4.85441208e-01  9.43192467e-02 -2.14239135e-01
  2.99645275e-01  3.94985080e-04  7.56112114e-03  2.09830016e-01
 -3.06621373e-01 -2.38906756e-01 -3.76073748e-01  5.40396273e-02
  3.72356772e-01 -1.52264982e-01 -4.09392476e-01  3.98401737e-01
 -1.03653550e+00 -3.59886140e-01  1.22073747e-01 -2.26108164e-01
 -3.12895387e-01 -3.03975999e-01  6.50651306e-02  9.22412276e-02
 -1.67196140e-01 -7.85462093e-03 -5.19672453e-01 -3.95641506e-01
 -1.97305128e-01 -1.22614801e-01  2.97927380e-01  4.72786278e-01]",positive,Misclassified negative review: Model failed to detect negative sentiment.
not really impressed strip steak,negative,"['not', 'really', 'impressed', 'strip', 'steak']",not really impressed strip steak,"[-0.4447998  -0.0630322   0.04765578 -0.2328358  -0.43483394  0.16097996
  0.14330181  0.32205278  0.19901219 -0.112236   -0.00393121 -0.05261369
  0.2918364  -0.12366407 -0.1597362   0.06575797 -0.12840581 -0.00260659
 -0.38928598  0.429312    0.559838    0.1891638  -0.19934979 -0.707214
  0.511392    0.40467757 -0.15731099 -0.77076054 -0.115986   -0.327331
  0.01529599  0.51331     0.03160734  0.08698124  0.2641      0.1913198
 -0.1108124   0.18337001 -0.108936   -0.274452    0.02961341 -0.24196401
  0.21041982 -0.309038   -0.13228822 -0.08283439  0.172376   -0.0221166
  0.27748197 -0.78563994 -0.07021219 -0.03715801  0.2344234   0.775854
 -0.4011918  -1.692058   -0.05105114 -0.0877184   0.7301156   0.469652
 -0.0295846   0.77727807 -0.15985799  0.034089    0.89439803 -0.11685
  0.504874    0.40793037 -0.24150309 -0.21257     0.1652138  -0.431245
 -0.0607464  -0.07153881  0.0319974   0.145274   -0.20744601  0.16458222
 -0.27229723  0.09285761  0.29868078 -0.21669719 -0.48006064  0.003646
 -1.0233781  -0.262412    0.0365444   0.03405171 -0.2842968  -0.38478398
 -0.0601998  -0.203688   -0.0144814  -0.08805239 -0.49667     0.1249036
 -0.03949599 -0.13049242  0.4360806   0.607772  ]",positive,Misclassified negative review: Model failed to detect negative sentiment.
